,left,right,top,bottom,Name,height,width
86,648,1271,8,1911,fender-custom-shop-dual-mag-stratocaster-heavy-relic,1903,623
87,616,1303,16,1895,prs-se-hollowbody-ii-charcoal-burst,1879,687
88,328,631,0,951,ibanez-prestige-az2204-icm-10146015,951,303
89,624,1295,8,1911,gretsch-guitars-g6228tg-jet-players-edition-cdg,1903,671
90,654,1271,8,1903,fender-custom-shop-1967-relic-strat-aged-sonic-blue-3tsb,1895,617
91,328,631,0,959,esp-ltd-buz-7-stblk-buz-mcgrath-signature,959,303
92,672,1239,240,1679,guild-starfire-iv-ch,1439,567
93,320,639,0,959,boss-eurus-gs-1,959,319
94,637,1283,0,1918,esp-ltd-te-201-black-satin,1918,646
95,640,1279,0,1919,yamaha-pacifica-112-rm,1919,639
96,322,631,8,951,g-l-fullerton-deluxe-asat-cl-flr,943,309
97,640,1271,8,1911,schecter-solo-ii-apocalypse-rr,1903,631
98,648,1271,8,1911,squier-contemporary-telecaster-rh-shoreline-gold,1903,623
99,320,634,8,951,esp-e-ii-horizon-fr-qm-blknb,943,314
100,608,1311,8,1911,schecter-sls-elite-e-1-bfb,1903,703
101,320,640,56,903,ibanez-as73fm-azg,847,320
102,320,631,8,951,prs-se-277-ca,943,311
103,328,631,8,958,esp-ltd-kh-demonology,950,303
104,336,639,0,951,schecter-c-6-deluxe-fr,951,303
105,616,1303,0,1919,yamaha-revstar-rss02thtm,1919,687
106,320,639,0,959,esp-ltd-h-51-car,959,319
107,296,663,8,951,hagstrom-viking-deluxe-baritone-cbk,943,367
108,312,647,0,959,esp-ltd-ec-1000-bk,959,335
109,600,1327,8,1911,gretsch-guitars-g6119-et-tennessee-rose-pro-player-s-edition-dcs-10144881,1903,727
110,304,655,0,959,eastman-sb59-v-antique-varnish-10150491,959,351
111,352,607,88,871,slick-sl-55-wh,783,255
112,656,1263,8,1911,schecter-reaper-6-elite-fr-s-bloodburst,1903,607
113,592,1327,0,1919,jackson-brandon-ellis-signature-kelley-green-crackle,1919,735
114,632,1287,8,1911,gretsch-guitars-players-edition-g6128t-jet-lotus-ivory-10149442,1903,655
115,328,639,8,959,suhr-classic-s-sss-owht,951,311
116,648,1271,16,1903,friedman-vintage-t-silver-flake-light-aged,1887,623
117,616,1295,8,1911,d-angelico-deluxe-mini-dc-sage,1903,679
118,640,1279,8,1911,yamaha-pacifica-112vmx-yns,1903,639
119,640,1271,0,1911,squier-classic-vibe-50s-telecaster-wbl,1911,631
120,312,639,8,959,danelectro-64xt-bk,951,327
121,656,1263,8,1911,ibanez-rg421g-lbm,1903,607
122,632,1287,16,1909,gretsch-guitars-electromatic-g5232t-double-jet-ft-csg,1893,655
123,576,1343,0,1919,duesenberg-fullerton-elite-catalina-blue,1919,767
124,632,1287,8,1911,sterling-by-music-man-cutlass-hss-fs,1903,655
125,648,1263,0,1911,fender-player-stratocaster-hss-pls-top-acb,1911,615
126,656,1263,8,1911,schecter-banshee-mach-6-evertune-fob,1903,607
127,656,1271,24,1903,sandberg-california-dc-ii-soft-aged-sg,1879,615
128,672,1247,8,1911,stagg-silveray-nash-deluxe-fsb,1903,575
129,648,1271,8,1911,fender-american-ultra-luxe-stratocaster-mn-hss-fr-svb,1903,623
130,648,1271,0,1919,hagstrom-ultra-max-golden-eagle-burst,1919,623
131,632,1287,8,1911,gretsch-guitars-g6659t-liv-bkstr-jr,1903,655
132,656,1263,16,1911,schecter-reaper-6-elite-bloodburst,1895,607
133,648,1271,8,1911,fender-custom-shop-56-stratocaster-heavy-relic,1903,623
134,600,1319,8,1911,squier-affinity-starcaster-mn-car,1903,719
135,328,631,0,951,ibanez-prestige-az2402-tff,951,303
136,323,634,8,959,vintage-icon-v62mrab,951,311
137,648,1263,16,1903,epiphone-les-paul-classic-worn-heritage-cherry-sunburst,1887,615
138,648,1271,0,1919,fender-american-ultra-stratocaster-rw-ultrbst,1919,623
139,656,1263,8,1911,charvel-pro-mod-dk-24-hh-fr-dark-amber,1903,607
140,600,1316,8,1911,squier-classic-vibe-starcaster-wal,1903,716
141,320,647,0,959,paoletti-richard-fortus-signature-no-3-cream,959,327
142,620,1299,0,1915,esp-ltd-ec-arctic-metal-snow-white-satin,1915,679
143,632,1287,8,1911,gretsch-guitars-g5220-electromatic-jet-bt-fsr,1903,655
144,640,1279,0,1919,squier-contemporary-active-jazzmaster-ssm,1919,639
145,648,1271,8,1911,fender-player-stratocaster-hss-mn-frd-ltd-edition,1903,623
146,5,930,8,959,heritage-custom-shop-core-collection-h-150-dirty-lemon-burst,951,925
147,656,1287,8,1911,gretsch-guitars-g5220-electromatic-jet-bt-dcm,1903,631
148,352,611,56,903,ibanez-axion-label-rgd71alms-bam,847,259
149,648,1271,0,1919,fender-american-vintage-ii-1973-stratocaster-agnat,1919,623
